city,date,aqi,pm25,pm10,no2,so2,co,o3,month,day_of_week,day_of_year,aqi_lag_1,pm25_lag_1,aqi_lag_3,pm25_lag_3,aqi_lag_7,pm25_lag_7,aqi_roll_7
Bangalore,2018-02-01,89.0,48.95,96.12,73.87,101.46,0.93,84.55,2,3,32,96.0,52.8,86.0,47.3,96.0,52.8,94.0
Bangalore,2018-02-02,89.0,48.95,96.12,73.87,101.46,0.93,84.55,2,4,33,89.0,48.95,96.0,52.8,92.0,50.6,93.57142857142857
Bangalore,2018-02-03,78.0,42.9,84.24,64.74,88.92,0.82,74.1,2,5,34,89.0,48.95,96.0,52.8,94.0,51.7,91.28571428571429
Bangalore,2018-02-04,80.0,44.0,86.4,66.4,91.2,0.84,76.0,2,6,35,78.0,42.9,89.0,48.95,105.0,57.75,87.71428571428571
Bangalore,2018-02-05,69.0,37.95,74.52,57.27,78.66,0.72,65.55,2,0,36,80.0,44.0,89.0,48.95,86.0,47.3,85.28571428571429
Bangalore,2018-02-06,82.0,45.1,88.56,68.06,93.48,0.86,77.9,2,1,37,69.0,37.95,78.0,42.9,96.0,52.8,83.28571428571429
Bangalore,2018-02-07,74.0,40.7,79.92,61.42,84.36,0.78,70.3,2,2,38,82.0,45.1,80.0,44.0,96.0,52.8,80.14285714285714
Bangalore,2018-02-08,68.0,37.4,73.44,56.44,77.52,0.71,64.6,2,3,39,74.0,40.7,69.0,37.95,89.0,48.95,77.14285714285714
Bangalore,2018-02-09,92.0,50.6,99.36,76.36,104.88,0.97,87.4,2,4,40,68.0,37.4,82.0,45.1,89.0,48.95,77.57142857142857
Bangalore,2018-02-10,84.0,46.2,90.72,69.72,95.76,0.88,79.8,2,5,41,92.0,50.6,74.0,40.7,78.0,42.9,78.42857142857143
Bangalore,2018-02-11,88.0,48.4,95.04,73.04,100.32,0.92,83.6,2,6,42,84.0,46.2,68.0,37.4,80.0,44.0,79.57142857142857
Bangalore,2018-02-12,72.0,39.6,77.76,59.76,82.08,0.76,68.4,2,0,43,88.0,48.4,92.0,50.6,69.0,37.95,80.0
Bangalore,2018-02-13,75.0,41.25,81.0,62.25,85.5,0.79,71.25,2,1,44,72.0,39.6,84.0,46.2,82.0,45.1,79.0
Bangalore,2018-02-14,83.0,45.65,89.64,68.89,94.62,0.87,78.85,2,2,45,75.0,41.25,88.0,48.4,74.0,40.7,80.28571428571429
Bangalore,2018-02-15,75.0,41.25,81.0,62.25,85.5,0.79,71.25,2,3,46,83.0,45.65,72.0,39.6,68.0,37.4,81.28571428571429
Bangalore,2018-02-16,73.0,40.15,78.84,60.59,83.22,0.77,69.35,2,4,47,75.0,41.25,75.0,41.25,92.0,50.6,78.57142857142857
Bangalore,2018-02-17,82.0,45.1,88.56,68.06,93.48,0.86,77.9,2,5,48,73.0,40.15,83.0,45.65,84.0,46.2,78.28571428571429
Bangalore,2018-02-18,87.0,47.85,93.96,72.21,99.18,0.91,82.65,2,6,49,82.0,45.1,75.0,41.25,88.0,48.4,78.14285714285714
Bangalore,2018-02-19,79.0,43.45,85.32,65.57,90.06,0.83,75.05,2,0,50,87.0,47.85,73.0,40.15,72.0,39.6,79.14285714285714
Bangalore,2018-02-20,79.0,43.45,85.32,65.57,90.06,0.83,75.05,2,1,51,79.0,43.45,82.0,45.1,75.0,41.25,79.71428571428571
Bangalore,2018-02-21,84.0,46.2,90.72,69.72,95.76,0.88,79.8,2,2,52,79.0,43.45,87.0,47.85,83.0,45.65,79.85714285714286
Bangalore,2018-02-22,89.0,48.95,96.12,73.87,101.46,0.93,84.55,2,3,53,84.0,46.2,79.0,43.45,75.0,41.25,81.85714285714286
Bangalore,2018-02-23,78.0,42.9,84.24,64.74,88.92,0.82,74.1,2,4,54,89.0,48.95,79.0,43.45,73.0,40.15,82.57142857142857
Bangalore,2018-02-24,79.0,43.45,85.32,65.57,90.06,0.83,75.05,2,5,55,78.0,42.9,84.0,46.2,82.0,45.1,82.14285714285714
Bangalore,2018-02-25,57.0,31.35,61.56,47.31,64.98,0.6,54.15,2,6,56,79.0,43.45,89.0,48.95,87.0,47.85,77.85714285714286
Bangalore,2018-02-26,59.0,32.45,63.72,48.97,67.26,0.62,56.05,2,0,57,57.0,31.35,78.0,42.9,79.0,43.45,75.0
Bangalore,2018-02-27,67.0,36.85,72.36,55.61,76.38,0.7,63.65,2,1,58,59.0,32.45,79.0,43.45,79.0,43.45,73.28571428571429
Bangalore,2018-02-28,81.0,44.55,87.48,67.23,92.34,0.85,76.95,2,2,59,67.0,36.85,57.0,31.35,84.0,46.2,72.85714285714286
Bangalore,2018-03-01,72.0,39.6,77.76,59.76,82.08,0.76,68.4,3,3,60,81.0,44.55,59.0,32.45,89.0,48.95,70.42857142857143
Bangalore,2018-03-02,88.0,48.4,95.04,73.04,100.32,0.92,83.6,3,4,61,72.0,39.6,67.0,36.85,78.0,42.9,71.85714285714286
Bangalore,2018-03-03,84.0,46.2,90.72,69.72,95.76,0.88,79.8,3,5,62,88.0,48.4,81.0,44.55,79.0,43.45,72.57142857142857
Bangalore,2018-03-04,86.0,47.3,92.88,71.38,98.04,0.9,81.7,3,6,63,84.0,46.2,72.0,39.6,57.0,31.35,76.71428571428571
Bangalore,2018-03-05,111.0,61.05,119.88,92.13,126.54,1.17,105.45,3,0,64,86.0,47.3,88.0,48.4,59.0,32.45,84.14285714285714
Bangalore,2018-03-06,89.0,48.95,96.12,73.87,101.46,0.93,84.55,3,1,65,111.0,61.05,84.0,46.2,67.0,36.85,87.28571428571429
Bangalore,2018-03-07,91.0,50.05,98.28,75.53,103.74,0.96,86.45,3,2,66,89.0,48.95,86.0,47.3,81.0,44.55,88.71428571428571
Bangalore,2018-03-08,103.0,56.65,111.24,85.49,117.42,1.08,97.85,3,3,67,91.0,50.05,111.0,61.05,72.0,39.6,93.14285714285714
Bangalore,2018-03-09,122.0,67.1,131.76,101.26,139.08,1.28,115.9,3,4,68,103.0,56.65,89.0,48.95,88.0,48.4,98.0
Bangalore,2018-03-10,127.0,69.85,137.16,105.41,144.78,1.33,120.65,3,5,69,122.0,67.1,91.0,50.05,84.0,46.2,104.14285714285714
Bangalore,2018-03-11,119.0,65.45,128.52,98.77,135.66,1.25,113.05,3,6,70,127.0,69.85,103.0,56.65,86.0,47.3,108.85714285714286
Bangalore,2018-03-12,94.0,51.7,101.52,78.02,107.16,0.99,89.3,3,0,71,119.0,65.45,122.0,67.1,111.0,61.05,106.42857142857143
Bangalore,2018-03-13,76.0,41.8,82.08,63.08,86.64,0.8,72.2,3,1,72,94.0,51.7,127.0,69.85,89.0,48.95,104.57142857142857
Bangalore,2018-03-14,70.0,38.5,75.6,58.1,79.8,0.74,66.5,3,2,73,76.0,41.8,119.0,65.45,91.0,50.05,101.57142857142857
Bangalore,2018-03-15,77.0,42.35,83.16,63.91,87.78,0.81,73.15,3,3,74,70.0,38.5,94.0,51.7,103.0,56.65,97.85714285714286
Bangalore,2018-03-16,52.0,28.6,56.16,43.16,59.28,0.55,49.4,3,4,75,77.0,42.35,76.0,41.8,122.0,67.1,87.85714285714286
Bangalore,2018-03-17,73.0,40.15,78.84,60.59,83.22,0.77,69.35,3,5,76,52.0,28.6,70.0,38.5,127.0,69.85,80.14285714285714
Bangalore,2018-03-18,54.0,29.7,58.32,44.82,61.56,0.57,51.3,3,6,77,73.0,40.15,77.0,42.35,119.0,65.45,70.85714285714286
Bangalore,2018-03-19,73.0,40.15,78.84,60.59,83.22,0.77,69.35,3,0,78,54.0,29.7,52.0,28.6,94.0,51.7,67.85714285714286
Bangalore,2018-03-20,114.0,62.7,123.12,94.62,129.96,1.2,108.3,3,1,79,73.0,40.15,73.0,40.15,76.0,41.8,73.28571428571429
Bangalore,2018-03-21,93.0,51.15,100.44,77.19,106.02,0.98,88.35,3,2,80,114.0,62.7,54.0,29.7,70.0,38.5,76.57142857142857
Bangalore,2018-03-22,124.0,68.2,133.92,102.92,141.36,1.3,117.8,3,3,81,93.0,51.15,73.0,40.15,77.0,42.35,83.28571428571429
Bangalore,2018-03-23,106.0,58.3,114.48,87.98,120.84,1.11,100.7,3,4,82,124.0,68.2,114.0,62.7,52.0,28.6,91.0
Bangalore,2018-03-24,109.0,59.95,117.72,90.47,124.26,1.14,103.55,3,5,83,106.0,58.3,93.0,51.15,73.0,40.15,96.14285714285714
Bangalore,2018-03-25,126.0,69.3,136.08,104.58,143.64,1.32,119.7,3,6,84,109.0,59.95,124.0,68.2,54.0,29.7,106.42857142857143
Bangalore,2018-03-26,95.0,52.25,102.6,78.85,108.3,1.0,90.25,3,0,85,126.0,69.3,106.0,58.3,73.0,40.15,109.57142857142857
Bangalore,2018-03-27,95.0,52.25,102.6,78.85,108.3,1.0,90.25,3,1,86,95.0,52.25,109.0,59.95,114.0,62.7,106.85714285714286
Bangalore,2018-03-28,118.0,64.9,127.44,97.94,134.52,1.24,112.1,3,2,87,95.0,52.25,126.0,69.3,93.0,51.15,110.42857142857143
Bangalore,2018-03-29,138.0,75.9,149.04,114.54,157.32,1.45,131.1,3,3,88,118.0,64.9,95.0,52.25,124.0,68.2,112.42857142857143
Bangalore,2018-03-30,130.0,71.5,140.4,107.9,148.2,1.37,123.5,3,4,89,138.0,75.9,95.0,52.25,106.0,58.3,115.85714285714286
Bangalore,2018-03-31,117.0,64.35,126.36,97.11,133.38,1.23,111.15,3,5,90,130.0,71.5,118.0,64.9,109.0,59.95,117.0
Bangalore,2018-04-01,112.0,61.6,120.96,92.96,127.68,1.18,106.4,4,6,91,117.0,64.35,138.0,75.9,126.0,69.3,115.0
Bangalore,2018-04-02,92.0,50.6,99.36,76.36,104.88,0.97,87.4,4,0,92,112.0,61.6,130.0,71.5,95.0,52.25,114.57142857142857
Bangalore,2018-04-03,97.0,53.35,104.76,80.51,110.58,1.02,92.15,4,1,93,92.0,50.6,117.0,64.35,95.0,52.25,114.85714285714286
Bangalore,2018-04-04,106.0,58.3,114.48,87.98,120.84,1.11,100.7,4,2,94,97.0,53.35,112.0,61.6,118.0,64.9,113.14285714285714
Bangalore,2018-04-05,118.0,64.9,127.44,97.94,134.52,1.24,112.1,4,3,95,106.0,58.3,92.0,50.6,138.0,75.9,110.28571428571429
Bangalore,2018-04-06,116.0,63.8,125.28,96.28,132.24,1.22,110.2,4,4,96,118.0,64.9,97.0,53.35,130.0,71.5,108.28571428571429
Bangalore,2018-04-07,128.0,70.4,138.24,106.24,145.92,1.34,121.6,4,5,97,116.0,63.8,106.0,58.3,117.0,64.35,109.85714285714286
Bangalore,2018-04-08,108.0,59.4,116.64,89.64,123.12,1.13,102.6,4,6,98,128.0,70.4,118.0,64.9,112.0,61.6,109.28571428571429
Bangalore,2018-04-09,57.0,31.35,61.56,47.31,64.98,0.6,54.15,4,0,99,108.0,59.4,116.0,63.8,92.0,50.6,104.28571428571429
Bangalore,2018-04-10,66.0,36.3,71.28,54.78,75.24,0.69,62.7,4,1,100,57.0,31.35,128.0,70.4,97.0,53.35,99.85714285714286
Bangalore,2018-04-11,81.0,44.55,87.48,67.23,92.34,0.85,76.95,4,2,101,66.0,36.3,108.0,59.4,106.0,58.3,96.28571428571429
Bangalore,2018-04-12,90.0,49.5,97.2,74.7,102.6,0.95,85.5,4,3,102,81.0,44.55,57.0,31.35,118.0,64.9,92.28571428571429
Bangalore,2018-04-13,71.0,39.05,76.68,58.93,80.94,0.75,67.45,4,4,103,90.0,49.5,66.0,36.3,116.0,63.8,85.85714285714286
Bangalore,2018-04-14,74.0,40.7,79.92,61.42,84.36,0.78,70.3,4,5,104,71.0,39.05,81.0,44.55,128.0,70.4,78.14285714285714
Bangalore,2018-04-15,97.0,53.35,104.76,80.51,110.58,1.02,92.15,4,6,105,74.0,40.7,90.0,49.5,108.0,59.4,76.57142857142857
Bangalore,2018-04-16,49.0,26.95,52.92,40.67,55.86,0.51,46.55,4,0,106,97.0,53.35,71.0,39.05,57.0,31.35,75.42857142857143
Bangalore,2018-04-17,69.0,37.95,74.52,57.27,78.66,0.72,65.55,4,1,107,49.0,26.95,74.0,40.7,66.0,36.3,75.85714285714286
Bangalore,2018-04-18,89.0,48.95,96.12,73.87,101.46,0.93,84.55,4,2,108,69.0,37.95,97.0,53.35,81.0,44.55,77.0
Bangalore,2018-04-19,103.0,56.65,111.24,85.49,117.42,1.08,97.85,4,3,109,89.0,48.95,49.0,26.95,90.0,49.5,78.85714285714286
Bangalore,2018-04-20,100.0,55.0,108.0,83.0,114.0,1.05,95.0,4,4,110,103.0,56.65,69.0,37.95,71.0,39.05,83.0
Bangalore,2018-04-21,81.0,44.55,87.48,67.23,92.34,0.85,76.95,4,5,111,100.0,55.0,89.0,48.95,74.0,40.7,84.0
Bangalore,2018-04-22,94.0,51.7,101.52,78.02,107.16,0.99,89.3,4,6,112,81.0,44.55,103.0,56.65,97.0,53.35,83.57142857142857
Bangalore,2018-04-23,74.0,40.7,79.92,61.42,84.36,0.78,70.3,4,0,113,94.0,51.7,100.0,55.0,49.0,26.95,87.14285714285714
Bangalore,2018-04-24,92.0,50.6,99.36,76.36,104.88,0.97,87.4,4,1,114,74.0,40.7,81.0,44.55,69.0,37.95,90.42857142857143
Bangalore,2018-04-25,74.0,40.7,79.92,61.42,84.36,0.78,70.3,4,2,115,92.0,50.6,94.0,51.7,89.0,48.95,88.28571428571429
Bangalore,2018-04-26,92.0,50.6,99.36,76.36,104.88,0.97,87.4,4,3,116,74.0,40.7,74.0,40.7,103.0,56.65,86.71428571428571
Bangalore,2018-04-27,96.0,52.8,103.68,79.68,109.44,1.01,91.2,4,4,117,92.0,50.6,92.0,50.6,100.0,55.0,86.14285714285714
Bangalore,2018-04-28,95.0,52.25,102.6,78.85,108.3,1.0,90.25,4,5,118,96.0,52.8,74.0,40.7,81.0,44.55,88.14285714285714
Bangalore,2018-04-29,87.0,47.85,93.96,72.21,99.18,0.91,82.65,4,6,119,95.0,52.25,92.0,50.6,94.0,51.7,87.14285714285714
Bangalore,2018-04-30,80.0,44.0,86.4,66.4,91.2,0.84,76.0,4,0,120,87.0,47.85,96.0,52.8,74.0,40.7,88.0
Bangalore,2018-05-01,108.0,59.4,116.64,89.64,123.12,1.13,102.6,5,1,121,80.0,44.0,95.0,52.25,92.0,50.6,90.28571428571429
Bangalore,2018-05-02,87.0,47.85,93.96,72.21,99.18,0.91,82.65,5,2,122,108.0,59.4,87.0,47.85,74.0,40.7,92.14285714285714
Bangalore,2018-05-03,85.0,46.75,91.8,70.55,96.9,0.89,80.75,5,3,123,87.0,47.85,80.0,44.0,92.0,50.6,91.14285714285714
Bangalore,2018-05-04,96.0,52.8,103.68,79.68,109.44,1.01,91.2,5,4,124,85.0,46.75,108.0,59.4,96.0,52.8,91.14285714285714
Bangalore,2018-05-05,115.0,63.25,124.2,95.45,131.1,1.21,109.25,5,5,125,96.0,52.8,87.0,47.85,95.0,52.25,94.0
Bangalore,2018-05-06,84.0,46.2,90.72,69.72,95.76,0.88,79.8,5,6,126,115.0,63.25,85.0,46.75,87.0,47.85,93.57142857142857
Bangalore,2018-05-07,108.0,59.4,116.64,89.64,123.12,1.13,102.6,5,0,127,84.0,46.2,96.0,52.8,80.0,44.0,97.57142857142857
Bangalore,2018-05-08,110.0,60.5,118.8,91.3,125.4,1.16,104.5,5,1,128,108.0,59.4,115.0,63.25,108.0,59.4,97.85714285714286
Bangalore,2018-05-09,67.0,36.85,72.36,55.61,76.38,0.7,63.65,5,2,129,110.0,60.5,84.0,46.2,87.0,47.85,95.0
Bangalore,2018-05-10,64.0,35.2,69.12,53.12,72.96,0.67,60.8,5,3,130,67.0,36.85,108.0,59.4,85.0,46.75,92.0
Bangalore,2018-05-11,53.0,29.15,57.24,43.99,60.42,0.56,50.35,5,4,131,64.0,35.2,110.0,60.5,96.0,52.8,85.85714285714286
Bangalore,2018-05-12,65.0,35.75,70.2,53.95,74.1,0.68,61.75,5,5,132,53.0,29.15,67.0,36.85,115.0,63.25,78.71428571428571
Bangalore,2018-05-13,60.0,33.0,64.8,49.8,68.4,0.63,57.0,5,6,133,65.0,35.75,64.0,35.2,84.0,46.2,75.28571428571429
Bangalore,2018-05-14,74.0,40.7,79.92,61.42,84.36,0.78,70.3,5,0,134,60.0,33.0,53.0,29.15,108.0,59.4,70.42857142857143
Bangalore,2018-05-15,55.0,30.25,59.4,45.65,62.7,0.58,52.25,5,1,135,74.0,40.7,65.0,35.75,110.0,60.5,62.57142857142857
Bangalore,2018-05-16,63.0,34.65,68.04,52.29,71.82,0.66,59.85,5,2,136,55.0,30.25,60.0,33.0,67.0,36.85,62.0
Bangalore,2018-05-17,82.0,45.1,88.56,68.06,93.48,0.86,77.9,5,3,137,63.0,34.65,74.0,40.7,64.0,35.2,64.57142857142857
Bangalore,2018-05-18,85.0,46.75,91.8,70.55,96.9,0.89,80.75,5,4,138,82.0,45.1,55.0,30.25,53.0,29.15,69.14285714285714
Bangalore,2018-05-19,103.0,56.65,111.24,85.49,117.42,1.08,97.85,5,5,139,85.0,46.75,63.0,34.65,65.0,35.75,74.57142857142857
Bangalore,2018-05-20,82.0,45.1,88.56,68.06,93.48,0.86,77.9,5,6,140,103.0,56.65,82.0,45.1,60.0,33.0,77.71428571428571
Bangalore,2018-05-21,68.0,37.4,73.44,56.44,77.52,0.71,64.6,5,0,141,82.0,45.1,85.0,46.75,74.0,40.7,76.85714285714286
Bangalore,2018-05-22,64.0,35.2,69.12,53.12,72.96,0.67,60.8,5,1,142,68.0,37.4,103.0,56.65,55.0,30.25,78.14285714285714
Bangalore,2018-05-23,115.0,63.25,124.2,95.45,131.1,1.21,109.25,5,2,143,64.0,35.2,82.0,45.1,63.0,34.65,85.57142857142857
Bangalore,2018-05-24,64.0,35.2,69.12,53.12,72.96,0.67,60.8,5,3,144,115.0,63.25,68.0,37.4,82.0,45.1,83.0
Bangalore,2018-05-25,92.0,50.6,99.36,76.36,104.88,0.97,87.4,5,4,145,64.0,35.2,64.0,35.2,85.0,46.75,84.0
Bangalore,2018-05-26,64.0,35.2,69.12,53.12,72.96,0.67,60.8,5,5,146,92.0,50.6,115.0,63.25,103.0,56.65,78.42857142857143
Bangalore,2018-05-27,73.0,40.15,78.84,60.59,83.22,0.77,69.35,5,6,147,64.0,35.2,64.0,35.2,82.0,45.1,77.14285714285714
Bangalore,2018-05-28,64.0,35.2,69.12,53.12,72.96,0.67,60.8,5,0,148,73.0,40.15,92.0,50.6,68.0,37.4,76.57142857142857
Bangalore,2018-05-29,59.0,32.45,63.72,48.97,67.26,0.62,56.05,5,1,149,64.0,35.2,64.0,35.2,64.0,35.2,75.85714285714286
Bangalore,2018-05-30,55.0,30.25,59.4,45.65,62.7,0.58,52.25,5,2,150,59.0,32.45,73.0,40.15,115.0,63.25,67.28571428571429
Bangalore,2018-05-31,69.0,37.95,74.52,57.27,78.66,0.72,65.55,5,3,151,55.0,30.25,64.0,35.2,64.0,35.2,68.0
Bangalore,2018-06-01,70.0,38.5,75.6,58.1,79.8,0.74,66.5,6,4,152,69.0,37.95,59.0,32.45,92.0,50.6,64.85714285714286
Bangalore,2018-06-02,79.0,43.45,85.32,65.57,90.06,0.83,75.05,6,5,153,70.0,38.5,55.0,30.25,64.0,35.2,67.0
Bangalore,2018-06-03,78.0,42.9,84.24,64.74,88.92,0.82,74.1,6,6,154,79.0,43.45,69.0,37.95,73.0,40.15,67.71428571428571
Bangalore,2018-06-04,59.0,32.45,63.72,48.97,67.26,0.62,56.05,6,0,155,78.0,42.9,70.0,38.5,64.0,35.2,67.0
Bangalore,2018-06-05,56.0,30.8,60.48,46.48,63.84,0.59,53.2,6,1,156,59.0,32.45,79.0,43.45,59.0,32.45,66.57142857142857
Bangalore,2018-06-06,57.0,31.35,61.56,47.31,64.98,0.6,54.15,6,2,157,56.0,30.8,78.0,42.9,55.0,30.25,66.85714285714286
Bangalore,2018-06-07,64.0,35.2,69.12,53.12,72.96,0.67,60.8,6,3,158,57.0,31.35,59.0,32.45,69.0,37.95,66.14285714285714
Bangalore,2018-06-08,55.0,30.25,59.4,45.65,62.7,0.58,52.25,6,4,159,64.0,35.2,56.0,30.8,70.0,38.5,64.0
Bangalore,2018-06-09,58.0,31.9,62.64,48.14,66.12,0.61,55.1,6,5,160,55.0,30.25,57.0,31.35,79.0,43.45,61.0
Bangalore,2018-06-10,53.0,29.15,57.24,43.99,60.42,0.56,50.35,6,6,161,58.0,31.9,64.0,35.2,78.0,42.9,57.42857142857143
Bangalore,2018-06-11,88.0,48.4,95.04,73.04,100.32,0.92,83.6,6,0,162,53.0,29.15,55.0,30.25,59.0,32.45,61.57142857142857
Bangalore,2018-06-12,57.0,31.35,61.56,47.31,64.98,0.6,54.15,6,1,163,88.0,48.4,58.0,31.9,56.0,30.8,61.714285714285715
Bangalore,2018-06-13,54.0,29.7,58.32,44.82,61.56,0.57,51.3,6,2,164,57.0,31.35,53.0,29.15,57.0,31.35,61.285714285714285
Bangalore,2018-06-14,59.0,32.45,63.72,48.97,67.26,0.62,56.05,6,3,165,54.0,29.7,88.0,48.4,64.0,35.2,60.57142857142857
Bangalore,2018-06-15,71.0,39.05,76.68,58.93,80.94,0.75,67.45,6,4,166,59.0,32.45,57.0,31.35,55.0,30.25,62.857142857142854
Bangalore,2018-06-16,70.0,38.5,75.6,58.1,79.8,0.74,66.5,6,5,167,71.0,39.05,54.0,29.7,58.0,31.9,64.57142857142857
Bangalore,2018-06-17,50.0,27.5,54.0,41.5,57.0,0.53,47.5,6,6,168,70.0,38.5,59.0,32.45,53.0,29.15,64.14285714285714
Bangalore,2018-06-18,43.0,23.65,46.44,35.69,49.02,0.45,40.85,6,0,169,50.0,27.5,71.0,39.05,88.0,48.4,57.714285714285715
Bangalore,2018-06-19,71.0,39.05,76.68,58.93,80.94,0.75,67.45,6,1,170,43.0,23.65,70.0,38.5,57.0,31.35,59.714285714285715
Bangalore,2018-06-20,57.0,31.35,61.56,47.31,64.98,0.6,54.15,6,2,171,71.0,39.05,50.0,27.5,54.0,29.7,60.142857142857146
Bangalore,2018-06-21,58.0,31.9,62.64,48.14,66.12,0.61,55.1,6,3,172,57.0,31.35,43.0,23.65,59.0,32.45,60.0
Bangalore,2018-06-22,65.0,35.75,70.2,53.95,74.1,0.68,61.75,6,4,173,58.0,31.9,71.0,39.05,71.0,39.05,59.142857142857146
Bangalore,2018-06-23,62.0,34.1,66.96,51.46,70.68,0.65,58.9,6,5,174,65.0,35.75,57.0,31.35,70.0,38.5,58.0
Bangalore,2018-06-24,59.0,32.45,63.72,48.97,67.26,0.62,56.05,6,6,175,62.0,34.1,58.0,31.9,50.0,27.5,59.285714285714285
Bangalore,2018-06-25,75.0,41.25,81.0,62.25,85.5,0.79,71.25,6,0,176,59.0,32.45,65.0,35.75,43.0,23.65,63.857142857142854
Bangalore,2018-06-26,58.0,31.9,62.64,48.14,66.12,0.61,55.1,6,1,177,75.0,41.25,62.0,34.1,71.0,39.05,62.0
Bangalore,2018-06-27,45.0,24.75,48.6,37.35,51.3,0.47,42.75,6,2,178,58.0,31.9,59.0,32.45,57.0,31.35,60.285714285714285
Bangalore,2018-06-28,48.0,26.4,51.84,39.84,54.72,0.5,45.6,6,3,179,45.0,24.75,75.0,41.25,58.0,31.9,58.857142857142854
Bangalore,2018-06-29,42.0,23.1,45.36,34.86,47.88,0.44,39.9,6,4,180,48.0,26.4,58.0,31.9,65.0,35.75,55.57142857142857
Bangalore,2018-06-30,57.0,31.35,61.56,47.31,64.98,0.6,54.15,6,5,181,42.0,23.1,45.0,24.75,62.0,34.1,54.857142857142854
Bangalore,2018-07-01,52.0,28.6,56.16,43.16,59.28,0.55,49.4,7,6,182,57.0,31.35,48.0,26.4,59.0,32.45,53.857142857142854
Bangalore,2018-07-02,62.0,34.1,66.96,51.46,70.68,0.65,58.9,7,0,183,52.0,28.6,42.0,23.1,75.0,41.25,52.0
